school_id,name,location,schooltype_id
271,Gojan,Pukë,1
272,Gjegjan,Pukë,1
273,Hasan Tahsini,Sarandë,1
274,5 Dëshmorët,Sarandë,1
275,Bido Sejko,Konispol,1
276,Livadhja,Finiq,1
277,Borsh,Himarë,1
278,Ramiz Aranitasi,Skrapar,1
279,Ramiz Aranitasi,Skrapar,1
280,Muhamet Kondi,Poliçan,1
281,Arshin Rako,Skrapar,1
282,28 NçNTORI,Shkodër,1
283,28 NçNTORI,Shkodër,1
284,JORDAN MISJA,Shkodër,1
285,OSO KUKA,Shkodër,1
286,OSO KUKA,Shkodër,1
287,KOLç IDROMENO,Shkodër,1
288,KOLç IDROMENO,Shkodër,1
289,SHEJNAZE JUKA,Shkodër,1
290,SHEJNAZE JUKA,Shkodër,1
291,PRENKç JAKOVA,Shkodër,1
292,PRENKç JAKOVA,Shkodër,1
293,OBLIKç,Shkodër,1
294,LUCç AGRAJA,Shkodër,1
295,FREDERIK GJON GJONI,Shkodër,1
296,NIKOLLç ZOGORIANI,Shkodër,1
297,AT GJON KARMA,Shkodër,1
298,ADEM HAXHIJA,Shkodër,1
299,MEHMET SHPENDI,Shkodër,1
300,IMZOT LUçJAN AVGOSTINI,Vau Dejes,1
301,NçNç TEREZA,Vau Dejes,1
302,MJEDç,Vau Dejes,1
303,HAJMEL,Vau Dejes,1
304,PISTULL,Vau Dejes,1
305,Abaz Shehu,Tepelenë,1
306,Sali Nivica,Memaliaj,1
307,Ormën Selami,Memaliaj,1
308,Adem Alushi,Memaliaj,1
309,Xhevit çela,Memaliaj,1
310,Tafil Buzi,Memaliaj,1
311,P.n.luarasi,Tiranë,1
312,Qemal Stafa,Tiranë,1
313,Partizani,Tiranë,1
314,Besnik Sykja,Tiranë,1
315,Arben Broci,Tiranë,1
316,Avdulla Keta,Tiranë,1
317,Sandër Prosi,Tiranë,1
318,Aleks Buda,Tiranë,1
319,Sami Frasheri,Tiranë,1
320,Sami Frasheri,Tiranë,1
321,Eqerem çabej,Tiranë,1
322,A.z. çajupi,Tiranë,1
323,Myslym Keta,Tiranë,1
324,Ismail Qemali,Tiranë,1
325,Ismail Qemali,Tiranë,1
326,Sinan Tafaj,Tiranë,1
327,Jordan Misja,Tiranë,1
328,Loro Boriçi,Tiranë,1
329,Koreografike,Tiranë,1
330,Asim Vokshi,Tiranë,1
331,Asim Vokshi,Tiranë,1
332,K.kristoforidhi,Tiranë,1
333,Vërri,Tiranë,1
334,Isa Adem Boletini,Vorë,1
335,Baldushk,Tiranë,1
336,Mersin Duqi,Tiranë,1
337,Kllojke,Tiranë,1
338,Farke,Tiranë,1
339,Myslym Shima,Tiranë,1
340,Sadik Stvileci,Tiranë,1
341,Krrabe,Tiranë,1
342,Sadi Nuri,Tiranë,1
343,16 Shtatori,Tiranë,1
344,Shaban Sheshori,Vorë,1
345,Ymer  Lala,Tiranë,1
346,Bahri Nela,Tiranë,1
347,Vaqarr,Tiranë,1
348,Ibrahim Hasmema,Tiranë,1
349,Kashar Qender,Tiranë,1
350,Vajdin Lame,Vorë,1
351,Myslim Shima,Tiranë,1
352,Tinka Kurti,Tropoje,1
353,Oso Dauti,Tropoje,1
354,Hoxhë Zogu,Tropoje,1
355,Murat Paci,Tropoje,1
356,Ali I Bër Neza,Tropoje,1
357,Matosh Uka,Tropoje,1
358,Asim Vokshi,Tropoje,1
359,Asim Vokshi,Tropoje,1
360,NAIM FRASHçRI,Vlorë,1
361,JANI MINGA,Vlorë,1
362,GJIMNAZI RI,Vlorë,1
363,ALI DEMI,Vlorë,1
364,HALIM XHELO,Vlorë,1
365,MUSTAFA Q. ATATURK,Vlorë,1
366,MUSTAFA Q. ATATURK  NATA,Vlorë,1
367,PILO PRIFTI,Vlorë,1
368,HASAN PULO,Vlorë,1
369,HASAN MçHILLI,Vlorë,1
370,FASLLI DANAJ,Vlorë,1
371,HAJREDIN BEQARI,Selenicë,1
372,QANI NUREDINI,Selenicë,1
373,ALI  ASLLANI,Selenicë,1
374,LAZE NURO,Selenicë,1
375,HAMDI RRAPI,Selenicë,1
376,SADIK ZOTAJ,Selenicë,1
377,MYNYR XHINDI,Selenicë,1
378,FILO RAMADANI,Selenicë,1
379,SPIRO GJIKNURI,Himarë,1
380,MEMO METO,Himarë,1
381,HORE VRANISHT,Himarë,1
382,Universiteti i Tiranës,Tiranë,2
383,Universiteti Politeknik i Tiranës,Tiranë,2
384,Universiteti Bujqësor i Tiranës,Tiranë,2
385,Universiteti i Elbasanit Aleksandër Xhuvani,Elbasan,2
386,Universiteti Luigj Gurakuqi Shkodër,Shkodër,2
387,Universiteti Eqrem €abej Gjirokastër,Gjirokastër,2
388,Universiteti Fan S. Noli Kor‡ë,Korce,2
389,Universiteti Ismail Qemali Vlorë,Vlorë,2
390,Universiteti Aleksandër Moisiu Durrës,Durrës,2
391,Universiteti i Arteve,Tiranë,2
392,Universiteti i Sporteve të Tiranës,Tiranë,2
393,"Universiteti i Mjekësisë, Tiranë",Tiranë,2
394,Universiteti i New York-ut në Tiranë,Tiranë,2
395,Universiteti Luarasi,Tiranë,2
396,Universiteti Privat Albanian University,Tiranë,2
397,Universiteti Katolik Zoja e Këshillit të Mirë,Tiranë,2
398,Universiteti Barleti,Tiranë,2
399,Universiteti Europian i Tiranës,Tiranë,2
400,Universiteti Aldent,Tiranë,2
401,Universiteti Polis,Tiranë,2
402,Universiteti EPOKA,Tiranë,2
403,Universiteti Mesdhetar i Shqipërisë,Tiranë,2
404,Universiteti Metropolitan Tirana,Tiranë,2
405,Universiteti Western Balkans,Tiranë,2
406,Akademia Nehemiah Gateway,Tiranë,2
407,Kolegji Universitar Qiriazi,Tiranë,2
408,Kolegji Universitar WISDOM,Tiranë,2
409,Kolegji Universitar Pavarësia Vlorë,Vlorë,2
410,Kolegji Universitar LOGOS,Tiranë,2
411,Tirana Business University College,Tiranë,2
412,Kolegji Universitar Bedër,Tiranë,2
